100 100
1 2 0
2 3 5
3 4 10
4 5 0
5 6 15
6 7 0
7 8 20
8 9 1
9 10 0
10 11 30
11 12 0
12 13 50
13 14 5
14 15 0
15 16 0
16 17 10
17 18 2
18 19 3
19 20 0
20 21 40
21 22 0
22 23 0
23 24 60
24 25 0
25 26 0
26 27 70
27 28 1
28 29 0
29 30 80
30 31 0
31 32 0
32 33 90
33 34 5
34 35 0
35 36 100
36 37 0
37 38 0
38 39 0
39 40 1
40 41 2
41 42 3
42 43 4
43 44 5
44 45 0
45 46 6
46 47 0
47 48 7
48 49 0
49 50 8
50 51 0
51 52 9
52 53 0
53 54 10
54 55 11
55 56 0
56 57 12
57 58 0
58 59 13
59 60 0
60 61 14
61 62 15
62 63 0
63 64 0
64 65 16
65 66 17
66 67 18
67 68 0
68 69 19
69 70 0
70 71 20
71 72 21
72 73 0
73 74 22
74 75 0
75 76 23
76 77 24
77 78 25
78 79 26
79 80 27
80 81 28
81 82 29
82 83 30
83 84 31
84 85 32
85 86 33
86 87 34
87 88 35
88 89 36
89 90 37
90 91 38
91 92 39
92 93 40
93 94 41
94 95 42
95 96 43
96 97 44
97 98 45
98 99 46
99 100 47
100 1 48
10
1 100 50
5 60 10
10 90 20
1 50 5
15 75 15
20 80 20
33 99 25
2 88 30
70 100 40
1 1 1
4 7
4 1 0
2 1 3
1 4 20
2 3 15
4 2 1
3 1 21
1 2 0
3
2 1 0
4 2 2
4 3 1
5 10
4 5 12
4 5 2
2 1 4
1 2 7
2 4 7
5 2 1
4 1 2
5 4 4
5 3 7
3 5 9
6
2 5 0
3 4 5
4 5 1
2 3 2
2 1 0
4 5 5
